Medición,1-3,1-5,3-7,5-7
Robot_1,76.30,80.85,80.45,77.20
Hoja_1,68.68,75.75,74.92,70.18
Robot_2,76.52,81.16,80.47,76.91
Hoja_2,71.35,80.02,76.31,66.12
Robot_3,76.24,80.88,80.63,76.92
Hoja_3,68.60,74.85,75.61,68.56
Robot_4,76.04,80.77,80.62,77.22
Hoja_4,68.34,77.10,70.19,71.83
