y
-231.72749587153996
-231.7368526642012
-231.03437337904458
-231.1019213539489
-231.72749587153996
-231.73645566920052
-231.09052617603982
-231.1019213539489
-231.724623800554
-231.73585658404005
-231.09052617603982
-231.1019213539489
-231.72446212774628
-231.7368526642012
-230.9650126913559
-231.1019213539489
