Medición,1-3,1-5,3-7,5-7
Robot_1,56.29,61.00,60.86,57.07
Hoja_1,53.54,59.55,58.14,54.18
Robot_2,56.41,60.82,60.87,57.11
Hoja_2,51.42,60.00,57.57,53.83
Robot_3,56.85,60.99,60.90,57.17
Hoja_3,53.54,60.64,58.29,54.68
Robot_4,56.85,60.86,61.00,57.11
Hoja_4,51.75,59.30,57.85,53.49
