Grupo,Pose #,POSE_robot_rpy, q_robot [deg],Config,POSE_robot_4x4,POSE_calc (tb_FKine),q_calc [deg],q_recalc [deg]
Caso 26,2,[ -68.90 -292.40  209.40  -97.58   -5.38  108.48],[-72.50 -30.93 -97.82  40.86   7.55  82.44],"[1, -1, 1]","[  -0.32    0.10   -0.94  -68.90    0.94    0.13   -0.30 -292.40    0.09
   -0.99   -0.13  209.40    0.00    0.00    0.00    1.00]","[  -0.32    0.10   -0.94  -68.90    0.94    0.13   -0.30 -292.44    0.09
   -0.99   -0.13  209.43    0.00    0.00    0.00    1.00]",[-72.50 -30.93 -97.82  40.86   7.55  82.44],[-72.50 -30.87 -97.81  40.66   7.55  82.58]
Caso 26,3,[ -40.60 -275.10  209.10  -99.60    4.40  114.08],[ -64.95  -20.12 -110.65   39.46    9.58   95.80],"[1, -1, 1]","[  -0.41    0.18   -0.89  -40.60    0.91   -0.00   -0.41 -275.10   -0.08
   -0.98   -0.17  209.10    0.00    0.00    0.00    1.00]","[  -0.41    0.18   -0.89  -40.65    0.91   -0.00   -0.41 -275.10   -0.08
   -0.98   -0.17  209.17    0.00    0.00    0.00    1.00]",[ -64.95  -20.12 -110.65   39.46    9.58   95.80],[ -64.94  -20.10 -110.63   39.31    9.57   95.89]
Caso 26,4,[-128.30 -299.40  208.90  -83.80    0.99   89.55],[ -85.07 -125.24   56.33   20.21   -8.26   49.39],"[1, 1, -1]","[   0.01   -0.11   -0.99 -128.30    1.00   -0.02    0.01 -299.40   -0.02
   -0.99    0.11  208.90    0.00    0.00    0.00    1.00]","[   0.01   -0.11   -0.99 -128.28    1.00   -0.02    0.01 -299.47   -0.02
   -0.99    0.11  208.94    0.00    0.00    0.00    1.00]",[ -85.07 -125.24   56.33   20.21   -8.26   49.39],[ -85.07 -125.26   56.31   20.29   -8.27   49.35]
Caso 26,5,[-197.20 -322.40  216.60 -109.54    9.41   92.06],[-98.26 -91.31   8.17  27.15  23.46  63.63],"[1, 1, 1]","[  -0.04    0.34   -0.94 -197.20    0.99   -0.14   -0.09 -322.40   -0.16
   -0.93   -0.33  216.60    0.00    0.00    0.00    1.00]","[  -0.04    0.34   -0.94 -197.17    0.99   -0.14   -0.09 -322.40   -0.16
   -0.93   -0.33  216.64    0.00    0.00    0.00    1.00]",[-98.26 -91.31   8.17  27.15  23.46  63.63],[-98.26 -91.25   8.02  27.25  23.46  63.63]
Caso 26,6,[-160.30 -326.40  198.70  -89.09   28.20   89.74],[-91.05 -84.19  19.24 -50.27  -0.87 143.43],"[1, 1, -1]","[   0.00   -0.02   -1.00 -160.30    0.88   -0.47    0.01 -326.40   -0.47
   -0.88    0.01  198.70    0.00    0.00    0.00    1.00]","[   0.00   -0.02   -1.00 -160.22    0.88   -0.47    0.01 -326.45   -0.47
   -0.88    0.01  198.76    0.00    0.00    0.00    1.00]",[-91.05 -84.19  19.24 -50.27  -0.87 143.43],[-91.06 -84.62  19.98 -50.35  -0.88 143.19]
Caso 27,1,[ -11.30 -271.50  255.00  -88.16    0.22  124.64],[-57.83 -20.83 -55.10 -67.50  -3.07 143.70],"[1, -1, -1]","[  -0.57   -0.02   -0.82  -11.30    0.82   -0.02   -0.57 -271.50   -0.00
   -1.00    0.03  255.00    0.00    0.00    0.00    1.00]","[  -0.57   -0.02   -0.82  -11.31    0.82   -0.02   -0.57 -271.50   -0.00
   -1.00    0.03  254.98    0.00    0.00    0.00    1.00]",[-57.83 -20.83 -55.10 -67.50  -3.07 143.70],[-57.83 -20.66 -55.45 -67.10  -3.07 143.46]
Caso 27,2,[  34.10 -280.30  257.70  -94.35    2.35  127.15],[-50.00 -16.78 -68.90 -35.68   5.09 123.83],"[1, -1, 1]","[  -0.60    0.09   -0.79   34.10    0.80    0.01   -0.60 -280.30   -0.04
   -1.00   -0.08  257.70    0.00    0.00    0.00    1.00]","[  -0.60    0.09   -0.79   34.21    0.80    0.01   -0.60 -280.29   -0.04
   -1.00   -0.08  257.73    0.00    0.00    0.00    1.00]",[-50.00 -16.78 -68.90 -35.68   5.09 123.83],[-50.02 -16.75 -68.98 -35.58   5.09 123.77]
Caso 27,3,[  73.60 -281.10  262.70  -95.75    5.89  135.11],[-43.33 -15.20 -84.02  -0.26   5.80 105.46],"[1, -1, 1]","[  -0.70    0.14   -0.69   73.60    0.70   -0.00   -0.71 -281.10   -0.10
   -0.99   -0.10  262.70    0.00    0.00    0.00    1.00]","[  -0.70    0.14   -0.69   73.66    0.70   -0.00   -0.71 -281.04   -0.10
   -0.99   -0.10  262.71    0.00    0.00    0.00    1.00]",[-43.33 -15.20 -84.02  -0.26   5.80 105.46],[-43.35 -15.22 -84.08  -0.08   5.80 105.35]
Caso 27,4,[ -49.10 -292.30  261.90  -92.96    6.48  110.98],[-68.20 -18.10 -82.35   1.31   2.98 105.64],"[1, -1, 1]","[  -0.36    0.09   -0.93  -49.10    0.93   -0.09   -0.36 -292.30   -0.11
   -0.99   -0.05  261.90    0.00    0.00    0.00    1.00]","[  -0.36    0.09   -0.93  -49.09    0.93   -0.09   -0.36 -292.31   -0.11
   -0.99   -0.05  261.94    0.00    0.00    0.00    1.00]",[-68.20 -18.10 -82.35   1.31   2.98 105.64],[-68.20 -18.10 -82.21   0.98   2.98 105.83]
Caso 27,5,[ -44.70 -338.30  263.40  -89.20    4.48  109.43],[-70.66 -41.66 -51.85   0.61  -0.79  97.38],"[1, -1, -1]","[  -0.33    0.01   -0.94  -44.70    0.94   -0.08   -0.33 -338.30   -0.08
   -1.00    0.01  263.40    0.00    0.00    0.00    1.00]","[  -0.33    0.01   -0.94  -44.71    0.94   -0.08   -0.33 -338.28   -0.08
   -1.00    0.01  263.45    0.00    0.00    0.00    1.00]",[-70.66 -41.66 -51.85   0.61  -0.79  97.38],[-70.66 -41.70 -52.54   2.27  -0.80  96.45]
Caso 27,6,[ -47.70 -365.10  263.00  -88.93   13.18  107.39],[-72.68 -64.33 -18.72   2.10  -1.05  94.13],"[1, -1, -1]","[  -0.29    0.05   -0.96  -47.70    0.93   -0.22   -0.29 -365.10   -0.23
   -0.97    0.02  263.00    0.00    0.00    0.00    1.00]","[  -0.29    0.05   -0.96  -47.67    0.93   -0.22   -0.29 -365.12   -0.23
   -0.97    0.02  262.98    0.00    0.00    0.00    1.00]",[-72.68 -64.33 -18.72   2.10  -1.05  94.13],[-72.68 -64.34 -18.87   2.50  -1.06  93.90]
